"id" "owner" "datetaken" "tags" "latitude" "longitude" "text" "page"
"33213993610" "140574134@N02" "2017-03-22 14:40:13" "busconductor buspassenger busroute busdriver shelter 13a terminus preserved northernbus firstaberdeen plage playa aberdeenbeach oldaberdeen nineteentwenties 1920s 20s 40s 30s survivor oldtimer memories aberdeenbus aberdeencitycouncil aberdeencorporation busterminus pastandpresent aberdeenhistory aberdeenharbour timesgoneby historicscotland history 50s 90s 80s 70s 60s museum victorian busshelter firstbus olddays publictransport busses bus firstgroup fittie footdee aberdeen dano 2017 northsea granitecity ecosse scotia escocia scotland scottish recent candid amateur nikon autumn summer winter spring aberdeenscotland aberdeencity cityofaberdeen scottishhighlands bonnyscotland sky clouds bluesky water" "57.143811" "-2.073609" "castles" 1
"33556533346" "140574134@N02" "2017-03-22 15:04:30" "postwoman postman postie postalservice aberdeenunionstreet aberdeen aberdeengirl aberdeenwomen aberdeenwoman aberdeenborn amateur candid female women rowing ourgreatestteam goldmedalwinner womensregatta femaleathlete olympicgold womensdoublesculls london2012 celebrity womenssport womensrowing goldmedal olympic nikon 2017 dano castlegate aberdeenscotland royalmail katherinegrainger winner olympics olympicgoldmedal goldpostbox postbox publicstatue plaque danophotography danoaberdeen" "57.148208" "-2.092164" "castles" 1
"33213947040" "140574134@N02" "2017-03-22 15:04:40" "aberdeenunionstreet aberdeengirl aberdeenborn aberdeenwoman aberdeenwomen amateur candid female sport women rowing ourgreatestteam womensregatta london2012 mbe womeninsport femaleathlete olympicgold womenssport womensrowing publicstatue scotland postbox olympicgoldmedal aberdeen dano plaque commemorate goldpostbox katherinegrainger royalmail aberdeenscotland castlegate carlton thecarlton danophotography danoaberdeen" "57.148172" "-2.092114" "castles" 1
"32567161073" "140574134@N02" "2017-03-11 17:05:21" "seascape cityofaberdeen danoaberdeen aberdeenscotland british uk coast coastline 4k avi mpeg video bluesky clouds sunshine weather autumn winter summer spring phone mobile cameraphone iphone7plus h2o water iphone dano northsea sea calm plage playa beach grampian caledonia scotia ecosse bonnie bonny highlands scottish scotland aberdeen fittie footdee ancient old aged tarrysheds danophotography recent candid amateur abdn" "57.143104" "-2.069281" "castles" 1
"33195934835" "143045315@N03" "2017-03-01 14:35:28" "stars" "57.166245" "-2.113666" "castles" 1
"34014117511" "140574134@N02" "2017-04-18 18:20:46" "nikon danophotography danoaberdeen aberdeencity cityofaberdeen northsea fittie peaceful serene tranquil bluesky clouds sky caledonia escocia ecosse spring summer autumn winter water scottish highlands scotland 2017 dano landscape scenery coast seashore aberdeenharbour walks naturewalk walk nature family amateur candid plage playa beach iphone iphone7plus mpeg video aberdeenscotland aberdeen footdee ancient old aged tarrysheds recent abdn" "57.143267" "-2.069281" "castles" 1
"33986924122" "140574134@N02" "2017-04-18 18:22:26" "breakwater boulders rocks cemeraphone iphone7plus iphone pocraquay bonnyscotland highlands scottish escocia ecosse 2017 dano aberdeen fittie cloudporn porn cloud amateur candid plage playa beach aberdeenscotland footdee ancient old aged tarrysheds danoaberdeen danophotography recent abdn" "57.143200" "-2.069256" "castles" 1
"34144528085" "140574134@N02" "2017-04-18 18:23:13" "iphone7plus danophotography danoaberdeen nikon aberdeencity cityofaberdeen playpark lifebelt cirrus cumulus nimbus clouds bluesky blue aberdeen iphone beach plage playa amateur candid aberdeenbeach vessels ships boats silverdarling scottish scotland aberdeenharbour fittie fishing fish fishtown aberdeenscotland footdee ancient old aged tarrysheds recent abdn" "57.143038" "-2.069350" "castles" 1
"34013808951" "140574134@N02" "2017-04-18 18:23:30" "playpark customshouse recent vessel boats escocia aberdeenharbour pocraquay iphone7plus 2017 dano scotland scottish scotia ecosse autumn winter sumner spring cumulus cirrus nimbus clouds bright bluesky stairs steps silverdarling silverdarlingrestaurant aberdeenscotland aberdeen fittie footdee iphone colours yellow blue candid boat ancient old aged tarrysheds danoaberdeen danophotography amateur abdn" "57.143019" "-2.069512" "castles" 1
"34144527725" "140574134@N02" "2017-04-18 18:23:39" "fish fishing fishtown beach plage playa aberdeenbeach scenery cloudy overcast architecture architect cityscape buildings historical history granitecity caledonia autumn spring winter summer iphone iphone7plus amateur candid 2017 dano aberdeenharbour fittie scotia ecosse aberdeen aberdeenscotland footdee ancient old aged tarrysheds danoaberdeen danophotography recent abdn" "57.143008" "-2.069531" "castles" 1
